summary,intent
"팅크웨어를 어제 전체 거래량이 25천주 정도인데, 신규 신용주식수가 48천주로 나오네요. 어떻게 거래량보다 많을수 있는지?",종목정보
주식할 떄 보통 환전하실때 어떻게 많이들하시나요?,투자
동서가 가치투자로서 제격이라고 생각하는데 왤케 안오를까요?,종목분석
 보통 채권과 주식은 역의 상관관계에 있지 않나요?,투자
업종별 1등주로 선정하는 기준에 대해 아시는분??,투자
오렌지라이프 gic펀드 바닥에서 매집한거 같고 향후 신한은행과의 합병시에 왠지 개미손을 들어줄 든든한 매수자가 생긴것 같은데 호재 맞겠죠?,종목분석
국내에 상장 되어있는 etf를 해야할지  아니면 해외직투 etf를 해야할지?,종목비교
"미국, 한국 장기 국채 ETF에 들어가도 될지?",매매결정
KODEX 미국채10년선물 어떤가요?,종목분석
슈프리마 외국계창구 매수 원인 짐작되는 바 있을지?,매매이유
화웨이 5G 동시 수혜주로 삼성전자에 납품하는 5G 관련주는 어떤게 있을까요? ,종목소개
화웨이 5G 동시 수혜주?,종목소개
금융투자와 투신은 어떻게 다른 건가요?,금융용어
실수로 미수 최대를 눌렀습니다. 예수금을 지불할 능력이 안되는데 어떻게 해야하나요? ,투자
배당 주식 말고 일반 주식 매매 차액도 수익으로 잡혀 금융소득종합과세로 들어가는지요?,거래
주식 배당은 금융종합과세 적용을 어찌 받을까요?,거래
USD 어떻게 보유 하는게 좋을까요?,투자
하나머티리얼즈 유동부채를 갚기위해 추후 유상증자 가능성이 있지않나요?,종목정보
이베스트증권 2016년 515  2017년 485  2018년 485월 배당  작년 기준 시나리오 돌리면 배당수익률 8.79% 기대하는데 어떻게들 보세요?,종목분석
한달~일주일정도 이동평균선이 꾸준히 우상향하다 매도벽을 만나 잠깐 하향하다 다시 불기둥을 뽑는 걸 용어로 뭐라고 하죠?,금융용어
삼성전기 사려고 하는데 기관이랑 외국인이낭 다 파닌깐 머가 문제가있나 생각이드네요 후에 공급과잉될꺼라는말도 있는거 같은데 그래서 일까요?,매매이유
Mlcc  성장가능성이 낮은가요?,종목분석
대상이 미니스톱 지분을 처분하는 공시가 났는데 400 억에 처분 한다는군요 .. 이럴 경우 투자주식처분이익은 매입가 기준인가요?,종목정보
매년 이렇게 골프존 대손충당금 비율이 증가하고 있는데 이 정도 증가율은 괜찮다고 볼 수 있나요,종목분석
이마트 싱가폴국부펀드 매집 어떻게 보시나요?,종목분석
주가 하락의 근본적인 원인 대표적인 이유는 미중 무역전쟁에 따른 외인매도인가요?,등락원인
시간외종가나 시간외단일가를 통해 거래하면 통정매매를 피할 수 있는 건가요?,거래
미국 etf 의 장기투자를 어떻게 보시는지 궁금합니다. ,종목전망
미국상장 인도etf 인 INDA 어떻게 보시는지요?,종목분석
공매도가 주가에 반영되는 시기는 언제인지 궁금합니다.,투자
주문한 내용보다 낮은 금액으로 체결되는 게 가능한가요?,거래
위탁증거금은 거래할때마다 내는건가요..?,거래
주문 방법중에서 체결확률이 가장 높은 주문 방법은 무엇일까요?,거래
유진기업 주가가 저평가로 판단되어 매수를 고려하고 있지만 부채비율이 높아 선뜻 매수하기가 어려운데 어떡할까?,매매결정
오뚜기 주가 비싸도 너무 비싼 것 같다는 생각이 드네요 내일 그냥 팔아버릴까요?,매매결정
혹시 etf 배당금은 어디서 볼수있나요?,종목정보
Etf는 어떻게 투자되는건가요? 펀드처럼 주식을 구입해서 보유하는거겠죠?,거래
per pbr roe중에 무엇 중심으로 보시나요,투자
파라다이스 주담 전화 아시는분,종목정보
국내주식 수수료 무료인 이유가 뭘까요..,거래
삼성바이오로직스 상장폐지시 채권투자자는 어찌될까..?,재료
메리츠 베트남펀드 주식시장 상장하여 거래할 수 있게 했다는데 HTS에 검색해도 찾을 수가 없네요. 어떻게 팔아야 되는지 ,거래
2018년 이전의 사업보고서는 몇 개년도 정도 분석해야하는지,투자
연간 사업보고서 먼저 분석하고 분기보고서로 넘어가는제 적당한지,투자
금융업체의 사업보고서 분석시 제조업체에 비해 유의해야할 항목이 어떤 것인지,투자
작년초에 csi300과 a50을 와이프에게 증여했습니다만 종합과세를 피하긴 커녕 오히려 징수를 당할 처지인데 이게 어찌 된 일일까요.,거래
지난 10년간 per은 20 중반대로 봐줄만한 수준인데 pbr이 10에 달합니다. 이게 고평가된건지 판단이 잘 안서네요 어떻게 봐야할까요? ,종목분석
적정주가를 구해볼때 단순히 EPS와 PER를 이용한다는게...괜찮은건지 모르겠습니다,투자
혹시 한해 배당내역을 다 확인하려면 각각 증권사에 연락해봐야 하나요?,거래
비유동 상각후 원가측정 금융자산이 뭔가요?,금융용어
"스마트팩토리  로보로봇 휴림로봇 서진시스템, 빅테이타 더존비즈온 푸른기술, 기차 수소차 일진다이아, 바이오 셀트리온  정도 보고있느데 어떤가요?",종목분석
앞으로 성장할 섹터와 종목이 궁금합니다,종목추천
세후기타포괄손익 설명해줘,금융용어
 대웅제약의 보톡스 균주 사건과 관련하여 대충  어떤 결론이 날지 짐작이나 하실 분 계신지요?,종목정보
코렌 실적관련 분석해줘,종목분석
코렌 주식을 대량매수 했는데  손해보고 팔아야 할지요?,매매결정
소외주는 보통 어떤 걸 보구 소외주라고 하는건가요?  ,금융용어
대한약품 어닝쇼크 발표와 관련해 한국콜마와 JW생명과학에 점유율이 밀린걸까요?,종목정보
미국에 상장된 일본부동산 리츠 상품 없을까요?,종목소개
코스피 우량주 위주의 장기투자 해도될까요,투자
제가 매달 급여의 일정부분을 주식에 투자하고 있다보니 중간에 투입되는 금액이 좀 있는데 주식투자 수익률을 어떻게 계산하면 될까요?,투자
시작하자마자 상한가 치는 종목들의 원리가  궁금합니다.  ,투자
액면금액을 줄이는 방법으로 감자할 때 교환된 신주권 주가는 변동없나요?,유무신전
미성년자도 비대면 증권 계좌 개설 가능한가요?,거래
"이마트 보고서 읽다가 GPM이라는 단어가 나왔는데, 찾아봐도 검색이 안되네요.  이게 무슨 뜻인가요??",금융용어
"중국주식을 주간에 매매하고 그 매도금으로, 당일 야간에 미국주식을 구매할 수 있나요?",거래
쎌바이오텍 어떻게 보시는지요.,종목분석
해외주식 관련하여 한국돈을 고정으로 하고 위안화가 달러대비 가격이 오르면 같은 한국돈으로 더 많은 위안화로 바꿀 수 있는 건가요? ,거래
 왜 고성장국가였던 중국이나  지금도 경제성장률을 일부러 조절할 정도라는 베트남의 시장지수 etf모양도 한국처럼 횡보하는걸까요?  ,종목분석
왜 미국 인덱스펀드만 꾸준히 우상향 할까요?,등락원인
기업들의 과거 배당수익률을 일괄적으로 보는 방법 좀 배울 수 있을까요.,종목정보
"전체 상장기업별 per, pbr, roe 등의 자료는 어디서 구하나요?",종목정보
"Tiger 미국다우존스30 인데요  NAV 15,363인데  LP가 매도는 15,315에 10,000주 쌓아버리고 매수는 15,260에 20,000주 쌓아버리네요. 왜 이러는거죠?",종목분석
자산배분을 통해 국내상장 ETF 혹은 펀드 있을까요? 단순히 국가가 아닌 채권/주식/원자재등 4계절 포트폴리오 같이요.,종목소개
타이거우량가치 ETF 이외에 추가로 상장된 멀티 Factor ETF가 있을까요?,종목소개
"파트론, 파워로직스 둘다 CM매출이 늘면서 주가가 엄청나게 올랐었죠. 근데 시가총액은 2배가 차이나고 있는데 다른 이유가 있을까요?",종목비교
맥쿼리 인프라 적정가치는?,종목분석
 꾸준한 성장이 가능한 기업을 찾아 장기보유하는게 더 수익을 극대화 시킬수 있을까요? ,투자
화이자 투자에 대한 고견을 듣고 싶습니다.,종목분석
삼화우 작년에 시가배당률이 6프로 정도였는데 올해는 주당배당금은 얼마 정도나  되려나요,종목정보
삼화우 올해 실적예상치는 작년보다는 좀 낮게 보던데 올 1분기 사업보고서는 언제쯤 공시될까요?,종목정보
삼화우 구매하려고 하는데요 지금부터 조금씩 정액매입하면 괜찮을까요?,매매평가
제가 AI기반하는 IT 벤처회사주식을 한 1년정도 가지고있는데 다른분들은 보통 기간을 어느정도 보유하시는지,매매타이밍
오늘 연금계좌와 IRP 계좌에 분배금이 입금 되는데 이걸로 ETF 재 매수하면 이 금액만큼 연금을 추가 납입 한걸로 되나요?,거래
아바코 재고자산 산정에 대한 기준을 상세히 알고 싶어,종목정보
매달 etf 리밸런싱 자동으로 할수 있으려면 어떻게 해야할까요. ,투자
삼성엔지니어링 실적은 좋은데 PER가 엄청 높은 거 같아서요. 시장에서 유독 높게 평가받는 이유가 있을지요?,종목분석
배당주 투자가 메리트가 만약 있으면 주가상승의 가능성정도인가요?,투자
미국 배당주 투자도 보통 배당률이 연 2~5정도 평균잡는데 요새 은행금리도 2프로인데 배당주 투자가 메리트가 있나요?,종목분석
오늘 아모레퍼시픽 주가가 많이 떨어졌는데요 이해가 안됩니다. 다른 악재가 있는걸까요?,재료
매수한 주식이 어느정도 수익률이 나왔을때 더 기다리거나 매도하시는건 어떤걸 보고 하시나요?,매매타이밍
 현금같이 운영 할 수있는 주식채권은 어떤걸 선호하신다요?,종목추천
ETF로 변경하여 투자를 하려 하는데 이에 대한 주의 사항?,투자
종목을 선택할 때 전환사채가 없는 기업들만 선택을 하시는지요,투자
"일반적으로 전환사채가 있으면 주가 상승에 압박이 된다는 것을 알고있는데,   그게 일괄적으로 적용이 되는 사항인지 궁금합니다.",재료
상각채권액은 손실처리로 훼손된 채권을 뜻하나요?,금융용어
상각채권회수액은 무엇인가요?,금융용어
순대손처리액 채권 회수를 못해서 손실 처리 한부분이라는 뜻인가요?,금융용어
주식매입선택권 공정가치는 무엇을 의미하나요? ,금융용어
하이트진로2우b 몇번 매도가를 수정하다가 17000원에 내놨는데 17550에 체결이 되더군요. 왜그러죠?,거래
8시부터 9시까지 6개 가격 범위안에서 지정가로 매수할경우 9시에 장시작할때 동시호가로 체결되는 건가요? ,거래
해외주식거래는 어디가 좋을까요...?,거래
금요일 셀트리온이 큰폭으로 상승했는데... 상승이유가 뭔가요?,등락원인
적정주가 계산법 어떤 것들 쓰시나요?,투자
주식가치평가 계산법 어떤 것들 쓰시나요?,투자
국내는 -20% 손해보고 있는상황이고 해외주식은 20% 이득을 보고 있습니다. 국내 또는 해외중 어느것 부터 매도하실지 조언부탁드립니다,매매타이밍
한국은 다트에서 확인할수있는대 미국기업들은 주로 어느곳에서 기업공시자료들을 확인할수있을까요?,종목정보
만약 IPO를 하게 된다면 지배기업의 매출은 종속기업분만큼 차감하고 지분법이익으로 당기순이익은 증가 이런식으로 되는건가요?,재료
만약 IPO를 하게 된다면 지배기업에 긍정적으로 작용하는 건가요?,재료
삼화콘덴서라는 회사 사업보고서 보는 중에 아래보는 것처럼 법인세부채가 8배나 늘었더라구요.. 법인세부채라는게 정확히 뭔가요?,금융용어
오가닉티코스메틱을 어찌보시나요??,종목분석
주로 국내상장 해외etf 거래할려고 합니다. 연금etf 종류 많은 증권사 좀 아시는분 있나요? ,거래
배당을 제외하고 현금이 창출될수있는 투자수단이 어떤것들이 있나요? ,종목소개
배당금이 아닌 주식배당도 금융소득과세에  포함되는지 궁금합니다,거래
CJ지주회사 어떻게 bps와 pbr을 구하는지  알려주실 수 있을까요,종목정보
채권매도하면 바로 현금화할 수있나요? ,거래
"미국이 아니고 한국이다 보니, AT&T장기 전망에 대해  너무 낙관한것은 아닌가 ",종목분석
AT&T 에 장기투자 하려는데 환차익/손 해외주식 거래 수수료/세금 감안시  국내고배당주 대비 효용성이 있을까,종목비교
미중협상이 원인이라면 협상이 잘된다는가정하에 차이나그레이트 배팅을 해도될까요? ,매매평가
차이나그레이트 지금 상한가 2번치고있는데 갑자기 오르는이유가 뭘까요?,등락원인
"조양호회장 사망이나 아시아나 매각사태에 있어서 한진,금호 보통주보다 우선주들이 높은 폭으로 뛰는걸까요?",등락원인
"한진칼우,금호우 왜 우선주가 오르나요?",등락원인
2일연속 UNH 주가가 폭락했는데 원인이 Medicare for all 이 법안 상정때문에 폭락한건가요? 아니면 다른이유가 더있는건가요 ??,등락원인
에스티아이 거래하는 회사들이 삼성전자 Boe 마이크론 하이닉스 등등 대기업인데 매출채권 회수가 많이 늦어질수가 있는지 궁금합니다,종목정보
배당주로 한지 몇년째인데 크게 수익도 손해도 없이 배당금 좀씩받고 있는데 이대로 괜찮을까요?,매매전략
국고채 3년물금리 어떻게 확인하나요?,종목정보
어떻게 마음을 다스리시나요??,멘탈
에스에프씨자기주식취득 신탁계약 해지가 떴습니다. 이게 상장폐지하고 직접적으로 연결되는 건지 궁금해서 질문드립니다. ,종목정보
"특정 ETF 상품에 투자하게 되면, 그 투자금은 해당 ETF를 구성하는 개별 종목들을 ETF 구성 비율만큼 각각 매수하게 되는게 맞는 거죠? ",거래
아모텍 18년도 사업보고서에 유형자산에 건설중인 자산 취득란에 460억 정도 돈을 썻던데 이게 어디에 쓰였는지 아시는분 계신가요?,종목정보
최근 대한항공과 한진칼 주가를 보면 우선주가 매일 상한가더라구요.  우선주는 의결권이 없는데 왜 많이 오르는지?,등락원인
아세아제지는 슬슬 날라가는데 신대양제지은 안그런 이유가있을까요?,종목비교
MSCI PER 어디서 볼 수 있을까요?,종목정보
서울의 아파트나 주거용 오피스텔에 투자할수 있는 리츠나 상품들 있나요?,종목소개
sk가스 배당금 언제 들어오나요?,종목정보
특정 산업이나 업종 사이클에 따라서 증시가 변화한다는 전제는 완전히 잘못된 게 아닌가요?  ,재료
"하나니켈1호 ,한국ANKOR유전 이런 종목들은 배당수익율이 47%,13% 가까이 나오는데 종목에 대한 정보는 없네요. 이런 종목들은 뭔가요?",종목정보
외국인들이 KT 매도 안하는 이유가 뭘까요 ?,매매이유
아스트가 29일에 유상증자를 발표했는데 기관이 29일까지 계속 매수한 것은 이유가 뭘까요?,매매이유
퇴직연금 포르폴리오 구성할떄 안전자산에 포함할 펀드/ETF 추천받습니다.,종목추천
배당이 4%인 기업이 분기 배당을 한다면요  3개월마다 1%를 주는것인가요?,종목정보
"하이골드12호 주당 평단가 2,500원 ~ 2,600원 사이로 맞춰서 매수 했는데  청산시점까지 계속 들고가야 할지?",매매타이밍
"이리츠코크렙 제가 600주를 가지고 있었고, 이번 결산배당은 주당 175원인데 여기에서 배당소득세 제외하면 88,830원이 입금되어야 하는 것 아닌가요? ",거래
"시총 1000억 정도고, 회사 실적, 재무제표 등은 매우 우량하지만 다만 거래량이 매일 10억 이하로 적은 편이라 주가 변동성이 적고, 실적 대비 주가가 저평가 되어 있습니다. 보통 이런종목 보유하면 결국 나중엔 오를까요?",종목전망
삼성전기 평단 103500에 25주가 있는데 25주를 더 사려고 합니다. 혹시 이미 있는 25주를 보증금으로 신용으로만 25주를 추가로 살 수 있나요?   ,투자
자산운용사의 기업별 지분율을 알수 있나요??,종목정보
"전환사채 발행하고, 전환가액이 현재 주가보다 낮은 경우 일반적으로 주가가 떨어지나요?",재료
혹시 파라다이스 보유하신 분 있으시면 전망을 어떻게 하시는지 궁금합니다.,종목전망
작년에 주식에 3천5백정도있었는데 수익은  100만원조금넘는데 이번에 증권회사에서 세무소에 소득세를 15만원 내야한다고 메일이 왔는데 원래 이거내는건가요?,거래
현재 주가가 6400원인데 전환가액이 5500원인 전환사채를 발행한다는건 향후 주가에 어떤 영향을 미치나요?,재료
케이아이엔엑스 주주 분들께 매도시점 여쭤봅니다,매매타이밍
흥아해운은 주가가 계속 빠지는 이유가 뭔가요?,등락원인
복리채를 잔존만기 전에 매도시 그동안 복리이자를 받을 수 있나요?,거래
서연이화 어떻게 생각하시나요?,종목분석
니켈에 직접적으로 투자할수있는 상품이 있나요??,종목소개
 대량의 공매도가 많이 나오게 되면 주가에 정확히 어떤 영향을 미치게 되는 것인가요? ,재료
적정가를 어떻게들 평가하시나요?,투자
사이클 산업들의 주기가 어떻게 되는지요?,종목정보
소재/장비주의 매수 시점과 매도 시점을 어떻게 잡으시는지요? ,매매타이밍
결합재무재표와 연결재무재표는 무엇입니까? ,금융용어
 Tiger 미국채10년 선물도 1년에 한번씩 분배금으로 이자가 지급되는게 맞는지요?,종목정보
혹시 수수료나 매매 편의성 면에서 미국 장외 OCT가 좋을까요 아니면 일본 직투가 좋을까요?,종목비교
우리나라 mlcc 기업들의 미래가 궁금합니다.,종목전망
덕산네오룩스 3분기까지 영업이익은 75억 입니다 그러나 현금흐름은 -84억입니다. 이 기업은 부실한 것인가요?   ,종목분석
"지금도 오랫동안 200 ETF를 매수중인데, 한 번 매수하면 수십년을 갖고 갈 생각인데  200TR 이 200에 비해 이득이 맞나요",종목비교
금융소득이  2천만원 넘으면 과세하는걸로 알고있는데 주식 시세차익으로 통한 소득은 여기에 들어가는지 안들어가는지 궁금합니다,거래
로스트킹덤이 2년만에 판호를 받았는데 중국발 판호 소식이 주가에 영향을 많이 미칠까요?,재료
"필라델피아 반도체 대비 삼전,하닉 주가부진 이유가 있을까여?",종목분석
식용벌레 미래음식으로 유망해보여서 투자하고싶은데 상장된 기업 있나요?,종목소개
추가상장되는 주식은 따로 사는 방법이 있는건가요? ,거래
 KODEX 선진국 MCIS WORLD ETF와 AB미국그로스 펀드 중 어떤게 더 낫다고 생각?,종목비교
 전환사채와 비분리형 BW의 명확한 차이?,금융용어
시총이 적은 KOSEF 인도 ETF를 보고 있는데 여기에 투자 하는게 위험 할까요?,매매결정
향후 전해질 판세 변화 어떻게 될까요?,종목전망
"향후 천보, 후성간 경쟁 구조가 어찌될 것으로 보시는지요? ",종목전망
해외 ETF에서 말하는 Rank in Cat의 수치가 무엇을 뜻하나요?,금융용어
이퀴닉스의 한국진출이 케이아이엔엑스에 미치는 영향에 대해서 어떻게 바라보는지 궁금합니다,재료
대림산업 주가는 야간 올라주다가 다시 하락을 맞은듯 한데  중기적으로는 그래도 희망이 있는건지,종목전망
S증권을 통해 미국 AT&T 2주를 매수하였습니다. 이때 발생하는 최소수수료 이를 줄이려면 어떻게 해야할지요?   ,거래
연금저축펀드 etf 추천 해주세요,종목추천
여러분은 매도를 어떤 기준으로 하세여?,투자
베트남 회사채에 투자하고싶은데 혹시 해외 회사채 수익률들 볼수있는곳 아시는지요?,종목정보
제가 주주 유상증자 신청을 했습니다 구주주는 5~6일 까지이고 일반주주는 7~8일 까지인데 혹시 신청한거 철회 할수 있나요?,거래
어느 정도 기간의 주가를 기준으로 해서 증여세를 내게 하는지에 대해 여쭈고 싶습니다,거래
제 계좌에 있는 주식을 와이프 계좌로 hts로 이체할 경우 혹시 증여세 문제가 발생할 수 있는지 궁금합니다,거래
에어부산 상장 첫날 시가가 4020원이라는 것은 첫 거래 금액이 4020원이라는 것인가요?,종목정보
최근에 미원상사가 1:5 무증하겠다고 공시하고 목욜주가가 상한가 근처까지 올랐습니다. 향후 전망은 어찌 보시는지요? ,종목전망
GNP 대비 시가총액 자료를 어디서구할 수 있는지요?,종목정보
셀트리온헬스케어 직판 시스템이 완성되면 해외 제약사들이 셀트리온헬스케어의 고객이 될지 의문입니다.,재료
씨큐브 현재 주가가 많이 내려와 있더라도 현재 이익 기준으로 보면 그리 매력적인 구간은 아닌 것 같은데 어떠신지 궁금하네요,종목분석
손실 난 주식 관리를 어떻게 하시는지 궁금합니다.,투자
증권계좌에 돈이 있으면 예금자 보호법에 따라 5천만원까지만 보호되는건가요?,거래
"한화투자증권이 지배구조 개편을 위한 제3자 배정방식의 유상증자 발표 후, 심지어 발행가 아래로 주가가 하락하는 현상이 왜 발생할까?",등락원인
초록뱀 기업 공시를 보다가 파생상품에서 120억 손실이 났다는 공시가 15일날 있었네요. 이게 주가에 영향을 줄까요?,재료
미국 국채 가격 알 수 있는곳 없을까요?,종목정보
"장기적으로 우상향하리라 믿어지는 주식을 산 뒤, 내가 산 가격보다 떨어졌을 때 추가로 사모아서 평단가를 떨어뜨리고, 올랐을 때는 안팔고 기다렸다가 비교적 싸지면 좀 더 사모으고 이런 투자전략을 뭐라고 부르나요?",금융용어
"코스피 주가지수 3000시대, 언제 올까요?",종목전망
지배회사와 종속회사가 있을 경우 어느 회사에 우선 투자하는 것이  좋을지?,종목비교
에코프로비엠이 상장되면 연결실적이 높아져서 모기업인 에코프로 주가에 긍정적인 영향을 미치나요?? ,재료
상반기에 2차전지 회사인 에코프로비엠이 상장하는데  모기업인 에코프로에는 어떤 영향이 있나요...?,재료
제가 지금 증권사 계좌를 2개 운용하고 있는데 하나로 합칠 이유가 있을까요?,거래
배당금이 나오면 배당락 때까지 예금이나 기간이 맞는 다른 투자상품에 투자하며 기다려서 매수 평단가를 낮추는 것이 좋을까요?,투자
배당금이 나오면 주가의 가격에 상관없이 특정시기에 주식을 추가매입하여 다음 해에 나오는 배당금의 금액을 늘리는 것이 좋을까요?,투자
경기선행지수에 대한 정보 알려줘,금융용어
시작하는 입문자에게 적절한 주식 수량은 얼마나 되는걸까요?,투자
맥쿼리인프라 성공보수 없어진이후로 외국인은 꾸준히 매수인데 기관은 하루도 뺴놓지 않고  계속 매도 인데.  어떤 이유가 있을까요?,매매이유
"맥쿼리인프라, 이리츠코크렙의 재무제표는 어디서 볼 수 있나요?",종목정보
주식분할은 호재인가요 악재인가요?,재료
혹시 폴리실리콘 차트 어디서 보는지 아시는분  있으신가요?,종목정보
국내 etf로 집중을 하고 있는 투자자인데 msci 이머징 비중조정이 아무래도 악영향이 있겠죠?,재료
미국 PRT 배당을 받게 되었는데  100주 8.77 을 받았습니다 . 그런데 통장을보니 세금을 제외한 6.14 가 들어왔습니다. 이게 맞는건가요?,거래
분기별로 공시되는 당기순이익에 따른 년환산 per는 별도로 재계산하지 않는것 같은데 혹시 그런 내용을 찾아볼수 있는 방법이 있을까요?,종목정보
보통 미래가치를 예측해서 현 수익이 안좋더라도 구매하는게 나을까요?,투자
당일에 종가보다 10%나 높은 가격으로 매수된 현상이 향후의 주가 향방과 유의미한 관계가 있을까요? ,재료
"당일에, 종가보다 10%나 높은 가격으로 매수하는 이유가 뭘까요?",매매이유
코카콜라 주가가 2월13일 49달러대에서 2월14일 45달러대로 수직하락했는데 배당락도 아니고 왜이렇게 수직하락 했나요?,등락원인
요즘이 거물급 거래자들의 포트폴리오 변동 내역을 미국증권위원회에 신고하는 시즌이라고 하는데 어디에 버핏의 매매 내역이 나오나요?,종목정보
MSFT경우 3월14일 배당예정인데 언제까지 hold해야 들어오게되는 것인지,종목정보
수증자 미성년자일경우 증여자가 홈택스 대신 신청도 되나여?,거래
갑작스런 거래량 증가 의미하는 바가 뭔가요?,재료
미국은 1년이하  보유종목 수익시 세금 많은 걸로  아는데 우리도 그렇게 가나요?,거래
중국 ETF에서 5월에 MSCI에서 본토A를 5프로에서 20프로로 비중확대 한다고 하는데 관련으로 매수하려면 어떤걸 선택해야하나요?,거래
미국주식 매수하는데 invalid price increment가 뜨면서 매수가 안되는데요. 이거 왜 그렇죠?,거래
"약 20년간 팔지 않는다고 가정했을때, 삼성전자를 매달 20만원씩 모아나가는건 어떤가요? ",투자
대북주 가지고 계신분들 매도타이밍 언제로보시나요?,매매타이밍
극한직업이 천만 넘었다는데 영화흥행에 비해서 제작사인 cj enm의 주가는 지지부진한데 전망이 어떤가요?,종목전망
한국 인플레이션 지표는 어디에서 확인할 수 있을까요?,종목정보
우리나라는 명절이지만 미국 현지에서는 거래되는 종목이 있고 거래되지 않는 종목이 있는데 이것은 왜 그런지요?,거래
미국에서 거래되는 한국etf 아시는분?,종목소개
업종별 시장지표 자료는 어디서 구할수 있을까요?,종목정보
현대중공업은 배당이 없는건가요?,종목정보
펀드 구매시 저위험으로 최대한 원금 보장을 위해서 MMF가입해도 세금공제 가능한가요?,거래
버크셔 해서웨이같이 수익률 좋은 지주회사 있으면 추천부탁드립니다,종목추천
국내상장 etf중에 환헷지 안되고 선물 아닌 미국채etf 있나요? ,종목소개
아마존을 통해서 매출을 많이 내고 있는 기업이 있을까요?,종목소개
보험주가 빌빌대는 이유는?,재료
화웨이 주식이 하위문화인가요?,종목정보
"코스피 외국인 매수,매도 금액 날짜별로 제공되는 곳 있나요?",종목정보
 공매도는 무한정 할 수 있는건가요?,거래
금융기관에서 금융회사 상품계정으로 매매할때 수수료가 없나요?,거래
"A라는 회사가 CB, BW를 각각 100억씩 전환사채를 발행했고 각각 50%콜옵션을 행사 할 수 있다고 하면 회사가 콜옵션을 행사했을 때 회사가 주식으로 보유가가능한가요",거래
분할 매수하는 과정에서 급등시의 대처 방법을 알려주세요,투자
회사 상태가 좋아져서 투자환기종목에서 탈피하게되면 보통 주가가 마니 오르나요?,재료
특정주식이 하락 할 것이다'에 투자하고싶어서 여쭙습니다. 기관은 공매도가가능하지만 개인이 이러한 투자를 할 수 있는지요? ,거래
기업의 가치 평가시 구허는 계산법이 어떻게 되는지 궁금합니다.,투자
"아리랑 S&P500 ETF, 삼성미국인덱스펀드 생각하고 있는데 미국시장에 장기투자하고싶은데 어떤 상품이 좋을까요?",종목추천
전체 상장회사 List를 볼수 있는곳은 없을까요?,종목정보
코스피 코스닥에 상장되어 있는 그 많은 기업 중에 어떤식으로 좋은 투자종목을 고르는 건지요,투자
미국 레버리지/인버스 등 ETF를 장기로 가져가게 되면 특별한 단점이 있을까요?  ,투자
 여름대비 선풍기나 에어컨 관련주 사놀려하는데 어떠나여???,매매평가
상장 공모가격이 10000원인데 상장후 100%유증을 하면 현재 시점의실제  상장가격은 5000원이 되는건가요? ,유무신전
재무제표에서 장기체화재고가 뭔가요?,금융용어
"양도세 22% 관련하여, 해외연금저축펀드나 IRP 계좌로 운용하는게 세금면에서 유리할까요?",거래
 irp계좌에서 국내상장 해외etf로 투자하고 세액공제를 받지않은 금액을 출금하는 경우에도 별도 15.4%부과가 안되는지 궁금합니다,거래
 매매시 차액에 대한  양도세를  지불하는걸로 알고 있습니다.  그렇다면 주식 매매 하지  않고 계속 쭉 가져가면  양도세는 없는거지요?  ,거래
db금융투자 관심있는 분들 혹시 제가 모르는 악재가 있는지 ,종목분석
 dividend cover라는 용어가 있는데  한글로 표기했을 때 정확한 명칭이 무엇인지 아시는 분 계실까요?,금융용어
이차전지 관련 etf가 없는데 매수를 하려면 어떻게해야 될까요?,거래
넥슨이 해외에 매각 될 경우 정말 국내 게임 업계에 큰 타격을 받을까요?,재료
 S&P추총 미국 EFT 추천 좀 부탁드려요,종목추천
IRP 계좌에서 맥쿼리인프라 매수 시 분배금은 과세이연대상인지,거래
진로발효 유동성공급계약의 체결로 인해 증권사가 얻는 이익은 어떤 것들이 있는지 ,재료
코스피가 2600 까지 올랐다가 지금수준으로 떨어졌는데 2600까지 오를때엔 국내외 어떤 호재로 인해서 그렇게 까지 올랐는지,재료
미국 경제 지표 중 GDP 성장률과 인플레이션 데이터 가지고 계신분 있나요?,종목정보
 중국에서 나온 영업이익은 LG 화학에 어떤 도움이 되는 건가요,재료
만약에 리디노미네이션이 일어나면 국공채를 비롯한 한국채권의 가격은 어떻게 변하나요?   ,재료
리-디도미네이션이 일어났을 때 채권은 어떻게 되는 건가요?,재료
우리은행 회사가 지주사로 전환해서 개인주주들의 주식을 매수청구한 주식들을 사면 회사의 당기순이익에 영향을 받나요?,재료
팔도의 가능성을 보고 헬스케어 종목인 큐렉소를 산다는 것은 타당할까요?,매매평가
중국 4차산업 증권투자신탁 관련 펀드가 18년  1월 가입했는데 손실이 너무 커졌어요. 또 앞으로 더 떨어질 확률이 높을까요? ,종목전망
화인베스틸 주가급등에 대한  원인이 뭘까요?,등락원인
80년대후반 코스피 PBR 확인할수 있을까요?,종목정보
케이아이엔엑스 앞으로 악재가 예상되는데 어떻게 생각하시나요?,종목전망
철강 소재 ETF에 대한 전망을 어떻게 보나요?,종목전망
미국 기업 제무제표 상 Income tax 부분이 -에서 2017년 기준으로 +값으로 바뀐기업이 있던데  미 정부의 법인세 인하로 인한 과거 법인세에 대한 환급인가요? ,재료
미국 증시에서 직접 1회 투자시 최소단위 금액은 얼마나 될까요?,거래
리츠 주식은 언제든지 살고팔고 하는 것이 가능한지요?  ,거래
